time,gFx,gFy,gFz,TgF
1.025866458,-0.0008,0.8594,0.3329,0.922
1.028587812,0.0032,0.8765,0.3412,0.941
1.03104599,-0.0086,0.9029,0.3631,0.973
1.039636823,-0.0237,0.9220,0.3666,0.992
1.040739427,-0.0320,0.9278,0.3680,0.999
1.04127526,-0.0369,0.9439,0.3739,1.016
1.041661771,-0.0433,0.9547,0.3744,1.026
1.045152812,-0.0501,0.9557,0.3705,1.026
1.046936771,-0.0506,0.9664,0.3626,1.033
1.054038958,-0.0452,0.9757,0.3353,1.033
1.055084115,-0.0413,0.9850,0.3187,1.036
1.055382604,-0.0403,0.9957,0.2943,1.039
1.056542292,-0.0394,0.9986,0.2845,1.039
1.058975833,-0.0418,1.0085,0.2733,1.046
1.061119583,-0.0506,1.0339,0.2982,1.077
1.063011927,-0.0579,1.0329,0.2537,1.065
1.066048906,-0.0584,1.0212,0.1951,1.041
1.068666823,-0.0721,1.0030,0.1511,1.017
1.071138177,-0.0819,1.0094,0.1433,1.023
1.073776875,-0.1083,1.0060,0.1653,1.025
1.075988229,-0.1141,1.0045,0.1726,1.026
1.078212187,-0.1356,1.0114,0.1809,1.036
1.080974635,-0.1425,1.0197,0.1809,1.045
1.083558437,-0.1498,1.0309,0.1946,1.060
1.086117396,-0.1581,1.0480,0.2088,1.080
1.088789479,-0.1581,1.0690,0.2190,1.103
1.091383229,-0.1698,1.0759,0.2190,1.111
1.09411375,-0.1806,1.0944,0.2400,1.135
1.095804427,-0.1786,1.1042,0.2493,1.146
1.098266458,-0.1786,1.1056,0.2669,1.151
1.101013958,-0.1791,1.1042,0.2874,1.155
1.103285052,-0.1698,1.1081,0.3021,1.161
1.10558224,-0.1498,1.1120,0.3343,1.171
1.108202083,-0.1347,1.1081,0.3617,1.173
1.110913281,-0.1137,1.1110,0.3861,1.182
1.113269062,-0.1063,1.0969,0.3735,1.164
1.12128401,-0.0999,1.1110,0.4257,1.194
1.122774844,-0.0882,1.0988,0.4545,1.192
1.123472917,-0.0828,1.1003,0.4760,1.202
1.124066562,-0.0799,1.0949,0.4941,1.204
1.126595469,-0.0760,1.0993,0.4956,1.208
1.128629219,-0.0985,1.0934,0.4975,1.205
1.13145526,-0.0970,1.0837,0.5019,1.198
1.137240104,-0.1068,1.0724,0.4902,1.184
1.138067135,-0.1156,1.0807,0.4677,1.183
1.138793125,-0.1166,1.0851,0.4540,1.182
1.141318698,-0.1308,1.0832,0.4369,1.175
1.143263229,-0.1327,1.0856,0.4130,1.169
1.145479896,-0.1386,1.0954,0.3998,1.174
1.147638542,-0.1420,1.0998,0.3730,1.170
1.150864792,-0.1664,1.0998,0.3563,1.168
1.152639479,-0.1747,1.1095,0.3163,1.167
1.155325052,-0.1781,1.1120,0.2967,1.165
1.157516406,-0.1840,1.1135,0.2791,1.163
1.159889271,-0.1703,1.1052,0.2620,1.148
1.162333125,-0.1752,1.1061,0.2405,1.145
1.165696354,-0.1815,1.1247,0.2356,1.163
1.167511042,-0.1644,1.1247,0.2454,1.163
1.170494167,-0.1713,1.1120,0.2390,1.150
1.174018542,-0.1737,1.1105,0.2434,1.150
1.174669479,-0.1698,1.0998,0.2532,1.141
1.178784271,-0.1630,1.0929,0.2566,1.134
1.181019219,-0.1688,1.0934,0.2425,1.133
1.183786562,-0.1679,1.0856,0.2444,1.125
1.186567969,-0.1757,1.0710,0.2522,1.114
1.188718125,-0.1630,1.0724,0.2400,1.111
1.190659792,-0.1630,1.0680,0.2508,1.109
1.193538333,-0.1732,1.0656,0.2630,1.111
1.19544125,-0.1644,1.0724,0.2718,1.119
1.198169114,-0.1688,1.0617,0.2884,1.113
1.201753177,-0.1698,1.0583,0.3094,1.116
1.204259844,-0.1654,1.0475,0.3138,1.106
1.206251875,-0.1771,1.0397,0.3221,1.103
1.207470156,-0.1762,1.0290,0.3431,1.099
1.210236146,-0.1713,1.0177,0.3730,1.097
1.212611719,-0.1625,1.0069,0.3925,1.093
1.217390677,-0.1561,1.0074,0.4228,1.104
1.218749844,-0.1474,1.0001,0.4487,1.106
1.221757604,-0.1513,0.9977,0.4594,1.109
1.22373,-0.1391,0.9991,0.4731,1.114
1.224990052,-0.1337,0.9962,0.4780,1.113
1.228088802,-0.1254,0.9972,0.4853,1.116
1.230976875,-0.1200,1.0001,0.4897,1.120
1.241411667,-0.1156,1.0011,0.4858,1.119
1.243012344,-0.1038,0.9938,0.5034,1.119
1.243793542,-0.0858,0.9796,0.5132,1.109
1.244443021,-0.0750,0.9767,0.5088,1.104
1.245424792,-0.0765,0.9601,0.5122,1.091
1.246116667,-0.0579,0.9493,0.5049,1.077
1.259430781,-0.0540,0.9391,0.4922,1.062
1.259982708,-0.0443,0.9352,0.4912,1.057
1.26018,-0.0394,0.9312,0.4785,1.048
1.260335573,-0.0428,0.9356,0.4745,1.050
1.260489583,-0.0394,0.9244,0.4560,1.032
1.260654948,-0.0428,0.9234,0.4457,1.026
1.263851198,-0.0462,0.9132,0.4316,1.011
1.266562552,-0.0403,0.9210,0.4223,1.014
1.275269792,-0.0374,0.9225,0.4233,1.016
1.275863073,-0.0384,0.9171,0.4032,1.003
1.2761525,-0.0384,0.9078,0.3871,0.988
1.276420417,-0.0408,0.9068,0.3754,0.982
1.277653802,-0.0433,0.9034,0.3675,0.976
1.280111875,-0.0516,0.8941,0.3602,0.965
1.283345208,-0.0462,0.8892,0.3573,0.959
1.285529531,-0.0526,0.8887,0.3573,0.959
1.288491458,-0.0579,0.8853,0.3578,0.957
1.290587604,-0.0545,0.8804,0.3597,0.953
1.292961979,-0.0638,0.8789,0.3563,0.951
1.295554635,-0.0574,0.8760,0.3612,0.949
1.297673177,-0.0560,0.8706,0.3485,0.939
1.300544479,-0.0550,0.8755,0.3480,0.944
1.302376823,-0.0511,0.8736,0.3500,0.942
1.304686302,-0.0467,0.8804,0.3465,0.947
1.306820417,-0.0403,0.8726,0.3475,0.940
1.309708177,-0.0428,0.8701,0.3480,0.938
1.312057135,-0.0350,0.8789,0.3553,0.949
1.317539323,-0.0413,0.8741,0.3485,0.942
1.31856776,-0.0291,0.8877,0.3641,0.960
1.324478646,-0.0125,0.8858,0.3715,0.961
1.325419427,-0.0110,0.8872,0.3832,0.967
